id,band1_norm,band2_norm,band3_norm,band4_norm
16272,0.45253409,0.305440251,0.184203971,0.313313225
16273,0.483334089,0.360056396,0.255616541,0.415570231
16274,0.532125762,0.443353717,0.319997399,0.73399315
16275,0.516522664,0.412020042,0.288897081,0.638993461
16276,0.515049777,0.41022199,0.28121018,0.683853957
16277,0.478967199,0.337072721,0.211997572,0.424558437
16278,0.503140468,0.372033486,0.255941751,0.502835157
16279,0.548758821,0.415875917,0.342402034,0.439390418
16280,0.560697394,0.448680821,0.356599652,0.607032777
16281,0.573756743,0.471337298,0.363420756,0.683850282
16282,0.591161118,0.496515704,0.382527862,0.680545066
16283,0.517502601,0.377339057,0.255543946,0.214443063
16284,0.456613691,0.280980642,0.166044976,0.160006717
16285,0.469101047,0.312581442,0.206769897,0.244186643
16286,0.537667808,0.419702186,0.337357859,0.490577708
16287,0.518358063,0.38309217,0.300935503,0.358246197
16288,0.540717666,0.408407529,0.331536533,0.395146074
16289,0.527483178,0.392536996,0.307597525,0.366502444
16290,0.49475756,0.343268871,0.245336263,0.313650074
16291,0.508977131,0.368256302,0.274953514,0.362451885
16292,0.542018351,0.40607209,0.320569636,0.394601466
16293,0.4899441,0.343108927,0.238757349,0.340667346
16294,0.505500068,0.361636795,0.270266007,0.353442741
16295,0.529645907,0.385171239,0.301823674,0.324130558
16296,0.546344182,0.416297235,0.339450663,0.38697282
16297,0.523165582,0.382703464,0.296094523,0.334435837
16298,0.566319827,0.431357677,0.365435622,0.312870476
16299,0.556534133,0.41317123,0.338723154,0.303229773
16300,0.532379967,0.386179931,0.304716353,0.291195437
16301,0.522915,0.375701015,0.28971312,0.274614655
16302,0.581696327,0.452023538,0.384680608,0.311166133
16303,0.568605882,0.429958755,0.350625992,0.311460798
16304,0.591376585,0.443127318,0.362616665,0.299619115
16305,0.658796417,0.528655391,0.467410308,0.381819644
16306,0.569203274,0.429804431,0.354366487,0.338163692
16307,0.613778084,0.494931308,0.444631058,0.37379417
16308,0.552883808,0.404586748,0.32001012,0.255156587
16309,0.620232127,0.497203713,0.442317418,0.375832181
16310,0.57350753,0.425401024,0.344972308,0.308356451
16311,0.556938254,0.406530079,0.316186623,0.258685817
16312,0.615568539,0.468060198,0.385977495,0.30248613
16313,0.579701162,0.428476306,0.345361279,0.282255642
16314,0.617631728,0.477264269,0.403070309,0.316601501
16315,0.664061312,0.528879611,0.46455123,0.375556484
16316,0.497248834,0.324344987,0.224580889,0.200385866
16317,0.557711624,0.3963576,0.312001696,0.276925313
16318,0.435685817,0.352439569,0.267416797,0.449632871
16319,0.520794344,0.451505587,0.388619613,0.594614572
16320,0.598283757,0.545244632,0.494504968,0.617459063
16321,0.472678223,0.400794988,0.324183276,0.530654267
16322,0.598283757,0.545244632,0.494504968,0.617459063
16323,0.52620873,0.474728802,0.419993726,0.621126636
16324,0.539837644,0.479803181,0.421563193,0.587999437
16325,0.52620873,0.474728802,0.419993726,0.621126636
16326,0.537129093,0.483876908,0.42324227,0.652878192
16327,0.553026658,0.496071519,0.438895701,0.618373096
16328,0.537129093,0.483876908,0.42324227,0.652878192
16329,0.463537273,0.363460157,0.267135246,0.479100043
16330,0.46240305,0.353179252,0.255390607,0.356097426
16331,0.463537273,0.363460157,0.267135246,0.479100043
16332,0.528609829,0.435419279,0.334796936,0.435992377
16333,0.537426519,0.478618048,0.405895781,0.618687683
16334,0.522524041,0.441863295,0.373570929,0.509403117
16335,0.537426519,0.478618048,0.405895781,0.618687683
16336,0.438792407,0.326692351,0.238156687,0.320815338
16337,0.415930822,0.296002537,0.196818473,0.248172911
16338,0.438792407,0.326692351,0.238156687,0.320815338
16339,0.427160095,0.319421319,0.230911098,0.335721814
16340,0.442965539,0.342033611,0.258838171,0.389959066
16341,0.427160095,0.319421319,0.230911098,0.335721814
16342,0.415319471,0.292605026,0.203770434,0.288645394
16343,0.433966667,0.342067747,0.261429948,0.435768363
16344,0.415319471,0.292605026,0.203770434,0.288645394
16345,0.420767936,0.301459394,0.226374061,0.272550626
16346,0.434071331,0.311340984,0.238011431,0.253494803
16347,0.420767936,0.301459394,0.226374061,0.272550626
16348,0.411637283,0.296744839,0.204887208,0.331882612
16349,0.442572904,0.346250996,0.266193142,0.440245615
16350,0.411637283,0.296744839,0.204887208,0.331882612
16351,0.399069641,0.291332478,0.190485569,0.287267166
16352,0.399378265,0.277315035,0.186358595,0.27014023
16353,0.399069641,0.291332478,0.190485569,0.287267166
16354,0.429177302,0.322004005,0.220348544,0.443683366
