,0,
0,0.13306451,0
1,0.1987445,0
2,0.6099066,1
3,0.23779267,0
4,0.6099066,1
5,0.2474612,0
6,0.4445504,0
7,0.2474612,0
8,0.49053147,0
9,0.32915896,0
10,0.49053147,0
11,0.23967636,0
12,0.20721784,0
13,0.23967636,0
14,0.22704828,0
15,0.707413,1
16,0.6836169,1
17,0.707413,1
18,0.28996643,0
19,0.4604589,0
20,0.28996643,0
21,0.4937643,0
22,0.56938875,1
23,0.4937643,0
24,0.40346086,0
25,0.6214622,1
26,0.40346086,0
27,0.46398744,0
28,0.28991002,0
29,0.46398744,0
30,0.5552225,1
31,0.48273677,0
32,0.55522174,1
33,0.49214664,0
34,0.47443783,0
35,0.49214664,0
36,0.5464588,1
37,0.49279222,0
38,0.5464588,1
39,0.21062309,0
40,0.16628647,0
41,0.10121682,0
42,0.16628647,0
43,0.087953866,0
44,0.033657342,0
45,0.087953866,0
46,0.05861643,0
47,0.07789445,0
48,0.05861643,0
49,0.49237666,0
50,0.20095542,0
51,0.49237666,0
52,0.11158645,0
53,0.45632568,0
54,0.11158645,0
55,0.37306535,0
56,0.123503715,0
57,0.37306535,0
58,0.45204043,0
59,0.355166,0
60,0.45204043,0
61,0.2497654,0
62,0.53050303,1
63,0.24976534,0
64,0.26743996,0
65,0.26845565,0
66,0.30347204,0
67,0.26845565,0
68,0.44186097,0
69,0.2793492,0
70,0.44186097,0
71,0.27633026,0
72,0.46900055,0
73,0.27633026,0
74,0.15238708,0
75,0.21530858,0
76,0.15238708,0
77,0.3058949,0
78,0.24661872,0
79,0.3058949,0
80,0.20659053,0
81,0.5188549,1
82,0.20659053,0
83,0.04173422,0
84,0.14313772,0
85,0.04173422,0
86,0.10637605,0
87,0.12395552,0
88,0.10637605,0
89,0.107346684,0
90,0.45651275,0
91,0.17239508,0
92,0.45651275,0
93,0.19437349,0
94,0.061129063,0
95,0.19437334,0
96,0.037247747,0
97,0.15607178,0
98,0.037247747,0
99,0.23739964,0
100,0.24293515,0
101,0.23739964,0
102,0.15982625,0
103,0.5336065,1
104,0.15982625,0
105,0.08419564,0
106,0.05678433,0
107,0.08419564,0
108,0.27971298,0
109,0.17690796,0
110,0.27971298,0
111,0.1987445,0
112,0.13306451,0
113,0.23779267,0
114,0.6099066,1
115,0.6146705,1
116,0.4445504,0
117,0.2474612,0
118,0.17025074,0
119,0.32915896,0
120,0.49053147,0
121,0.26721284,0
122,0.20721784,0
123,0.23967636,0
124,0.22704828,0
125,0.39073485,0
126,0.6836167,1
127,0.707413,1
128,0.6799377,1
129,0.4604589,0
130,0.28996643,0
131,0.5492121,1
132,0.56938875,1
133,0.4937643,0
134,0.5520666,1
135,0.6214622,1
136,0.40346086,0
137,0.57020223,1
138,0.28991002,0
139,0.46398744,0
140,0.55525833,1
141,0.48273674,0
142,0.55522174,1
143,0.4977169,0
144,0.47443783,0
145,0.49214664,0
146,0.59536946,1
147,0.49279222,0
148,0.5464588,1
149,0.21062309,0
150,0.10580227,0
151,0.10121682,0
152,0.16628647,0
153,0.062767595,0
154,0.033657342,0
155,0.087953866,0
156,0.08151856,0
157,0.07789445,0
158,0.05861646,0
159,0.08403689,0
160,0.20095542,0
161,0.49237666,0
162,0.4622871,0
163,0.45632568,0
164,0.11158645,0
165,0.21535411,0
166,0.123503715,0
167,0.37306535,0
168,0.37843865,0
169,0.355166,0
170,0.45204043,0
171,0.6028059,1
172,0.530503,1
173,0.2497654,0
174,0.26743996,0
175,0.10617453,0
176,0.30347204,0
177,0.26845565,0
178,0.28252786,0
179,0.2793492,0
180,0.44186097,0
181,0.64934385,1
182,0.46900055,0
183,0.27633026,0
184,0.21381605,0
185,0.21530858,0
186,0.15238708,0
187,0.2775758,0
188,0.24661872,0
189,0.3058949,0
190,0.16113445,0
191,0.5188548,1
192,0.20659053,0
193,0.09396896,0
194,0.14313772,0
195,0.04173422,0
196,0.06348288,0
197,0.12395552,0
198,0.10637605,0
199,0.107346684,0
200,0.068968475,0
201,0.17239508,0
202,0.45651275,0
203,0.25633448,0
204,0.061129063,0
205,0.19437349,0
206,0.0895437,0
207,0.15607178,0
208,0.037247747,0
209,0.17981201,0
210,0.24293515,0
211,0.23739964,0
212,0.64855206,1
213,0.5336065,1
214,0.15982625,0
215,0.074780405,0
216,0.05678433,0
217,0.08419564,0
218,0.1760298,0
219,0.17690796,0
220,0.27971298,0
221,0.3325829,0
222,0.15022358,0
223,0.19752255,0
224,0.23819712,0
225,0.4463221,0
226,0.29262686,0
227,0.26866493,0
228,0.18924779,0
229,0.20081681,0
230,0.47639725,0
231,0.54968065,1
232,0.23841855,0
233,0.1883373,0
234,0.2395539,0
235,0.191331,0
236,0.28722242,0
237,0.59622693,1
238,0.5986976,1
239,0.40053606,0
240,0.46412188,0
241,0.2902914,0
242,0.58154345,1
243,0.51416725,1
244,0.50518394,1
245,0.5392731,1
246,0.45506898,0
247,0.3506798,0
248,0.46912098,0
249,0.40646023,0
250,0.28775454,0
251,0.4146416,0
252,0.5201551,1
253,0.5907438,1
254,0.5438311,1
255,0.5000646,1
256,0.44459295,0
257,0.5807137,1
258,0.48942074,0
259,0.5033923,1
260,0.20974866,0
261,0.055394292,0
262,0.1910924,0
263,0.1907515,0
264,0.05198592,0
265,0.069601536,0
266,0.15029979,0
267,0.091683656,0
268,0.15563017,0
269,0.18252933,0
270,0.24437991,0
271,0.23656514,0
272,0.45223936,0
273,0.27360982,0
274,0.32682174,0
